C,l1_ratio,peso,roc_auc,pr_auc,precision,recall,f2,accuracy,tp,fn,fp,tn
0.1,1.0,5,0.6655745628581056,0.21870857849000125,0.2376357056694813,0.3189422558014031,0.2985150015153046,0.8007822356800404,591,1262,1896,12103
0.1,1.0,7,0.6658918702349682,0.2188451045615707,0.19696321642429426,0.4970318402590394,0.3809563203176704,0.7043275296492556,921,932,3755,10244
0.5,0.0,3,0.6655523193449906,0.21946261117749558,0.31483870967741934,0.13167835941716136,0.14901673384634176,0.8650012616704517,244,1609,531,13468
0.5,0.0,5,0.6657264509719238,0.2193429987305687,0.24144789180588702,0.32757690232056125,0.3057626435623615,0.8010976532929599,607,1246,1907,12092
0.5,0.0,7,0.6657294964442568,0.2190952627526465,0.19517918088737202,0.4937938478143551,0.378099173553719,0.702813525107242,915,938,3773,10226
0.5,0.25,3,0.6657560961393163,0.21953557448269906,0.3138780804150454,0.1305990286022666,0.14786753024563118,0.8650012616704517,242,1611,529,13470
0.5,0.25,5,0.6659181229774834,0.21943110476480443,0.24105011933174225,0.32703723691311387,0.30525891597823895,0.8009714862477921,606,1247,1908,12091
0.5,0.25,7,0.6659180458769182,0.21917518180659998,0.19496587030716722,0.4932541824069077,0.3776859504132231,0.7026873580620742,914,939,3774,10225
0.5,0.5,3,0.6658312691905717,0.21953925725047654,0.3117723156532988,0.1300593631948192,0.1472205253512523,0.8647489275801161,241,1612,532,13467
0.5,0.5,5,0.6660709748483692,0.21946085865374076,0.24073335990434436,0.3259579060982191,0.30440479790343716,0.801034569770376,604,1249,1905,12094
0.5,0.5,7,0.6660407128764537,0.2192077090260992,0.19539249146757678,0.49433351322180247,0.3785123966942149,0.7029396921524098,916,937,3772,10227
0.5,0.75,3,0.6657998507101753,0.219472605426907,0.312987012987013,0.1300593631948192,0.14727450501099976,0.8649381781478678,241,1612,529,13470
0.5,0.75,5,0.666098422649648,0.2194943662011514,0.2411319250697489,0.3264975715056665,0.3049087793569197,0.8011607368155438,605,1248,1904,12095
0.5,0.75,7,0.6661432951787051,0.21924813211767655,0.1953091684434968,0.49433351322180247,0.37844984300115686,0.702813525107242,916,937,3774,10225
0.5,1.0,3,0.6657932971621171,0.21947909109562802,0.312987012987013,0.1300593631948192,0.14727450501099976,0.8649381781478678,241,1612,529,13470
0.5,1.0,5,0.6661018921750905,0.21948111640344264,0.24062250598563448,0.32541824069077174,0.3039927404718693,0.8010976532929599,603,1250,1903,12096
0.5,1.0,7,0.6661403653572202,0.21919567889025807,0.19572649572649573,0.49433351322180247,0.3787628183923255,0.703444360333081,916,937,3764,10235
1.0,0.0,3,0.6654094905476056,0.21943592086716546,0.31443298969072164,0.13167835941716136,0.14899853444064484,0.8649381781478678,244,1609,532,13467
1.0,0.0,5,0.665544686389017,0.2192619839649791,0.24135188866799204,0.32757690232056125,0.30573184244988416,0.801034569770376,607,1246,1908,12091
1.0,0.0,7,0.6655576392840026,0.2190319428927031,0.19517918088737202,0.4937938478143551,0.378099173553719,0.702813525107242,915,938,3773,10226
1.0,0.25,3,0.6655558659709986,0.2194741995668152,0.3131443298969072,0.13113869400971398,0.14838788470933073,0.8648120111027,243,1610,533,13466
1.0,0.25,5,0.6656670064360082,0.2193135514772618,0.24135188866799204,0.32757690232056125,0.30573184244988416,0.801034569770376,607,1246,1908,12091
1.0,0.25,7,0.6656552871500689,0.219082994130135,0.19517918088737202,0.4937938478143551,0.378099173553719,0.702813525107242,915,938,3773,10226
1.0,0.5,3,0.665683467406719,0.2194946449408555,0.3131443298969072,0.13113869400971398,0.14838788470933073,0.8648120111027,243,1610,533,13466
